Bipolar Electronics				27/07/2022					
Filename:	micropicsmt4v0 Bill of Material 27-7-2022 Manuf 				Project MICROPICSMT4V0	Or Equiv			
Item	Designator	Load	Value	Comment	Description		Footprint	LibRef	Quantity
41	R5	Y	47K	WCR1206-47KFI	"SMD Chip Resistor, Thick Film, AEC-Q200 WCR Series, 47 kohm, 200 V, 1206 [3216 Metric], 250 mW"	Y	C3216-1206	Res1206	1
42	R6	Y	1K8	MP003725	"SMD Chip Resistor, 1.8 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
43	R7	Y	3K3	MCWR12X3301FTL	"SMD Chip Resistor, 3.3 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
44	R8	Y	10K	MCWR12X1002FTL	"SMD Chip Resistor, 10 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
45	R9	Y	560K	MCSR12X5603FTL	"SMD Chip Resistor, 560 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, Sulfur Resistant"	Y	C3216-1206	Res1206	1
46	R10	Y	100K	MCWR12X1003FTL	"SMD Chip Resistor, 100 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
47	R13	Y	10K	MCWR12X1002FTL	"SMD Chip Resistor, 10 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
48	R11	Y	100K	MCWR12X1003FTL	"SMD Chip Resistor, 100 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
49	R12	Y	100K	MCWR12X1003FTL	"SMD Chip Resistor, 100 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
50	R14	Y	820R	MC1206S4F8200T5E	"RES, THICK FILM, 820R, 1%, 0.25W, 1206"	Y	C3216-1206	Res1206	1
51	R15	Y	4K7	MCWR12X4701FTL	"SMD Chip Resistor, 4.7 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
52	R16	Y	1M0	MC1206S4F1004T5E	"RES, THICK FILM, 1M, 1%, 0.25W, 1206"	Y	C3216-1206	Res1206	1
53	R17	Y	22K	MCWR12X2202FTL	"SMD Chip Resistor, 22 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
54	R18	Y	10K	MCWR12X1002FTL	"SMD Chip Resistor, 10 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
55	R19	Y	10K	MCWR12X1002FTL	"SMD Chip Resistor, 10 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
56	R20	Y	47R	MCWR12X47R0FTL	"SMD Chip Resistor, 47 ohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
57	R21	Y	47K	WCR1206-47KFI	"SMD Chip Resistor, Thick Film, AEC-Q200 WCR Series, 47 kohm, 200 V, 1206 [3216 Metric], 250 mW"	Y	C3216-1206	Res1206	1
58	R22	Y	10K	MCWR12X1002FTL	"SMD Chip Resistor, 10 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
59	R23	Y	300R	MCMR12X3000FTL	"MCMR12X3000FTL  SMD Chip Resistor, Ceramic, 300 ohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, Sulfur Resistant"	Y	C3216-1206	Res1206	1
60	R24	N	470R	MCWR12X4700FTL	"SMD Chip Resistor, 470 ohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	NA	C3216-1206	Res1206	1
61	R25	N	10K	MCWR12X1002FTL	"SMD Chip Resistor, 10 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	NA	C3216-1206	Res1206	1
62	R26	Y	4K7	MCWR12X4701FTL	"SMD Chip Resistor, 4.7 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
63	R27	Y	4K7	MCWR12X4701FTL	"SMD Chip Resistor, 4.7 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
